Product Name,Sale Price,Actual Price,Ratings,Offer,Number of Ratings,Number of Reviews
"REDMI 10 Power (Power Black, 128 GB)","₹12,799",Same as Sale Price,4.1,No Offer,488, 32
"REDMI 10A (Charcoal Black, 64 GB)","₹8,150",Same as Sale Price,4.2,No Offer,"7,509", 476
"REDMI 10A (Slate grey, 64 GB)","₹8,688",Same as Sale Price,4.2,No Offer,"7,509", 476
"REDMI 10A (Sea Blue, 64 GB)","₹8,798","₹8,899",4.2,1% off,"7,509", 476
"REDMI 10 Power (Sporty Orange, 128 GB)","₹13,200",Same as Sale Price,4.1,No Offer,488, 32
"Redmi Note 11 PRO Plus 5G (Stealth Black, 128 GB)","₹20,312",Same as Sale Price,4.2,No Offer,"5,281", 456
"Redmi Note 11 PRO Plus 5G (Mirage Blue, 128 GB)","₹21,499",Same as Sale Price,4.2,No Offer,"5,281", 456
"REDMI Note 11T 5G (Aquamarine Blue, 128 GB)","₹17,490",Same as Sale Price,4.2,No Offer,"5,387", 438
"Redmi 9A Sport (Metallic Blue, 32 GB)","₹7,170",Same as Sale Price,4.2,No Offer,"5,850", 437
"Redmi Note 11 (Space Black, 64 GB)","₹14,399",Same as Sale Price,4.2,No Offer,"9,051", 715
"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)","₹28,999","₹33,999",4.2,14% off,"6,416", 718
"REDMI 10A (Slate Grey, 32 GB)","₹7,629",Same as Sale Price,4.1,No Offer,"1,533", 103
"REDMI 10A (Charcoal Black, 32 GB)","₹7,995","₹8,600",4.1,7% off,"1,533", 103
"Redmi Note 11 PRO Plus 5G (Stealth Black, 128 GB)","₹19,790",Same as Sale Price,4.2,No Offer,"5,281", 456
"Redmi Note 11 (Starburst White, 64 GB)","₹13,489","₹13,989",4.2,3% off,"9,131", 840
"REDMI Note 11T 5G (Aquamarine Blue, 128 GB)","₹20,990",Same as Sale Price,4.3,No Offer,"2,839", 248
"Redmi Note 11 (Horizon Blue, 64 GB)","₹13,015","₹13,350",4.2,2% off,"9,051", 715
"Redmi Note 11 PRO Plus 5G (Stealth Black, 128 GB)","₹22,699",Same as Sale Price,4.2,No Offer,"2,551", 238
"REDMI Note 11T 5G (Matte black, 128 GB)","₹20,999",Same as Sale Price,4.3,No Offer,"2,839", 248
"Redmi 9A Sport (Coral Green, 32 GB)","₹6,770","₹6,820",4.1,No Offer,"24,289"," 1,855"
"Redmi Note 11 (Space Black, 128 GB)","₹14,499",Same as Sale Price,4.2,No Offer,"9,051", 715
"Redmi Note 11 (Space Black, 64 GB)","₹13,900",Same as Sale Price,4.2,No Offer,"9,051", 715
"Redmi Note 11 PRO Plus 5G (Phantom White, 128 GB)","₹21,499",Same as Sale Price,4.2,No Offer,"5,281", 456
"REDMI Note 11 Pro (Star blue, 128 GB)","₹18,390","₹19,840",4.2,7% off,963, 80
"Redmi Note 11 PRO Plus 5G (Mirage Blue, 128 GB)","₹20,780",Same as Sale Price,4.2,No Offer,"5,281", 456
"Xiaomi 11i Hypercharge 5G (Pacific Pearl, 128 GB)","₹28,999","₹33,999",4.2,14% off,"6,416", 718
"Xiaomi 11i 5G (Purple Mist, 128 GB)","₹24,999","₹29,999",4.2,16% off,"37,306"," 4,609"
"Redmi 9A Sport (Carbon Black, 32 GB)","₹7,048",Same as Sale Price,4.2,No Offer,"5,850", 437
"Redmi Note 11 PRO Plus 5G (Stealth Black, 128 GB)","₹20,998",Same as Sale Price,4.2,No Offer,"5,281", 456
"Xiaomi 11Lite NE (Vinyl Black, 128 GB)","₹24,490",Same as Sale Price,4.2,No Offer,"1,526", 167
"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)","₹26,999","₹31,999",4.2,15% off,"10,454"," 1,084"
"Redmi Note 9 Pro (Interstellar Black, 128 GB)","₹13,790","₹14,390",4.3,4% off,"26,623"," 1,827"
"Xiaomi 11i 5G (Stealth Black, 128 GB)","₹26,999","₹31,999",4.2,15% off,"20,305"," 2,574"
"REDMI 10 Power (Sporty Orange, 128 GB)","₹13,990",Same as Sale Price,4.1,No Offer,488, 32
"REDMI 10 Power (Power Black, 128 GB)","₹13,990",Same as Sale Price,4.1,No Offer,488, 32
"Xiaomi 11i Hypercharge 5G (Stealth Black, 128 GB)","₹26,999","₹31,999",4.2,15% off,"10,454"," 1,084"
"Redmi K20 (Pearl White, 64 GB)","₹21,499",Same as Sale Price,4.5,No Offer,"51,351"," 5,421"
"Redmi 9A Sport (Carbon Black, 32 GB)","₹7,999",Same as Sale Price,4.2,No Offer,"5,850", 437
"Mi A2 (Gold, 64 GB)","₹17,499",Same as Sale Price,4.2,No Offer,"34,800"," 2,908"
"�Note 11 (Starburst White, 64 GB)","₹12,299",Same as Sale Price,No Ratings,No Offer,No_Ratings,
"Redmi Note 11 (Starburst White, 64 GB)","₹13,790",Same as Sale Price,4.2,No Offer,"9,131", 840
"Redmi Note 11 PRO Plus 5G (Stealth Black, 128 GB)","₹22,199",Same as Sale Price,4.2,No Offer,"2,551", 238
"Redmi Note 11 PRO Plus 5G (Phantom White, 128 GB)","₹22,199",Same as Sale Price,4.2,No Offer,"2,551", 238
"Mi 11 Lite (Tuscany Coral, 128 GB)","₹21,980",Same as Sale Price,4.2,No Offer,"6,005", 612
"�Note 11 (Starburst White, 64 GB)","₹13,299",Same as Sale Price,No Ratings,No Offer,No_Ratings,
"Redmi 9A (Midnight Black, 32 GB)","₹7,849",Same as Sale Price,4.3,No Offer,"21,393"," 1,283"
"REDMI Note 11 Pro (Stealth Black, 128 GB)","₹19,990","₹22,999",4.2,13% off,963, 80
"10 Prime (Phantom Black, 64 GB)","₹11,999",Same as Sale Price,4.4,No Offer,114, 5
"REDMI NOTE 10 LITE (Glacier White, 128 GB)","₹13,870","₹15,290",4.3,9% off,522, 36
"Redmi 9A Sport (Coral Green, 32 GB)","₹7,970",Same as Sale Price,4.2,No Offer,"5,850", 437
"Mi 10T Pro (Lunar Silver, 128 GB)","₹29,990",Same as Sale Price,4.2,No Offer,"3,682", 552
"Redmi Go (Blue, 16 GB)","₹5,049","₹5,999",4.3,15% off,"1,67,651"," 13,194"
"Redmi 8A Dual (Sky White, 32 GB)","₹8,999",Same as Sale Price,4.2,No Offer,"18,219"," 1,189"
"Redmi Note 7S (Sapphire Blue, 32 GB)","₹11,999",Same as Sale Price,4.4,No Offer,"3,05,049"," 27,318"
"Redmi 8 (Emerald Green, 64 GB)","₹10,749","₹10,999",4.4,2% off,"9,42,112"," 67,058"
"Redmi 8A Dual (Midnight Grey, 32 GB)","₹8,999",Same as Sale Price,4.2,No Offer,"18,219"," 1,189"
"Redmi 8 (Ruby Red, 64 GB)","₹10,749","₹10,999",4.4,2% off,"9,42,112"," 67,058"
"Redmi Note 7S (Ruby Red, 32 GB)","₹11,999",Same as Sale Price,4.4,No Offer,"3,05,049"," 27,318"
"Mi 11 Lite (Vinyl Black, 128 GB)","₹20,890",Same as Sale Price,4.2,No Offer,"13,080"," 1,426"
"Redmi Note 11 (Space Black, 64 GB)","₹11,980","₹13,090",4.2,8% off,"9,131", 840
"Redmi 9A (Midnight Black, 32 GB)","₹8,490",Same as Sale Price,4.3,No Offer,"14,489", 911
"Xiaomi 11i Hypercharge 5G (Camo Green, 128 GB)","₹26,999","₹31,999",4.2,15% off,"10,454"," 1,084"
"Redmi 7A (Matte Blue, 32 GB)","₹6,999",Same as Sale Price,4.3,No Offer,"3,88,888"," 28,158"
"Mi 11 Lite (Jazz Blue, 128 GB)","₹21,999","₹25,999",4.2,15% off,"6,005", 612
"Mi 11 Lite (Vinyl Black, 128 GB)","₹18,990","₹19,990",4.2,5% off,"6,005", 612
"Mi 10T (Cosmic Black, 128 GB)","₹35,999","₹39,999",4.2,10% off,"4,018", 564
"Redmi Note 7 Pro (Blue, 64 GB)","₹15,999",Same as Sale Price,4.5,No Offer,"8,50,689"," 72,355"
"Redmi Note 7 Pro (Nebula Red, 64 GB)","₹15,999",Same as Sale Price,4.5,No Offer,"8,50,689"," 72,355"
"Redmi Note 7S (Onyx Black, 32 GB)","₹11,999",Same as Sale Price,4.4,No Offer,"3,05,049"," 27,318"
"Redmi Note 9 Pro (Interstellar Black, 64 GB)","₹14,879",Same as Sale Price,4.3,No Offer,"26,623"," 1,827"
"Mi 11X Pro 5G (Lunar White, 128 GB)","₹32,490",Same as Sale Price,4,No Offer,430, 34
"Xiaomi 11i Hypercharge 5G (Pacific Pearl, 128 GB)","₹26,999","₹31,999",4.2,15% off,"10,454"," 1,084"
"Mi 11 Lite (Jazz Blue, 128 GB)","₹21,999","₹25,999",4.2,15% off,"6,005", 612
"Mi 10T (Cosmic Black, 128 GB)","₹35,999","₹39,999",4.2,10% off,"4,018", 564
"Redmi Note 7 Pro (Blue, 64 GB)","₹15,999",Same as Sale Price,4.5,No Offer,"8,50,689"," 72,355"
"Redmi Note 7 Pro (Nebula Red, 64 GB)","₹15,999",Same as Sale Price,4.5,No Offer,"8,50,689"," 72,355"
"Redmi Note 9 Pro (Interstellar Black, 64 GB)","₹14,879",Same as Sale Price,4.3,No Offer,"26,623"," 1,827"
"Mi 11X Pro 5G (Lunar White, 128 GB)","₹32,490",Same as Sale Price,4,No Offer,430, 34
"Xiaomi 11i Hypercharge 5G (Pacific Pearl, 128 GB)","₹26,999","₹31,999",4.2,15% off,"10,454"," 1,084"
"Redmi 9 (Sporty Orange, 64 GB)","₹10,690","₹10,760",4.2,No Offer,"26,778"," 1,529"
"Mi 11X (Celestial Silver, 128 GB)","₹27,990",Same as Sale Price,4.2,No Offer,"2,331", 237
"Redmi K20 (Carbon Black, 64 GB)","₹22,899","₹22,999",4.5,No Offer,"51,351"," 5,421"
"Redmi 9 (Carbon Black, 64 GB)","₹9,280",Same as Sale Price,4.2,No Offer,"26,778"," 1,529"
"Xiaomi 12 Pro 5G (Noir Black, 256 GB)","₹50,699","₹79,990",4.2,36% off,111, 18
"Redmi K20 (Glacier Blue, 64 GB)","₹22,899","₹22,999",4.5,No Offer,"51,351"," 5,421"
"Redmi Note 7S (Onyx Black, 32 GB)","₹11,999",Same as Sale Price,4.4,No Offer,"3,05,049"," 27,318"
"Redmi 8 (Sapphire Blue, 64 GB)","₹10,749","₹10,999",4.4,2% off,"9,42,112"," 67,058"
"Redmi 6 (Gold, 32 GB)","₹8,949","₹8,999",4.4,No Offer,"5,59,362"," 40,503"
"Redmi Note 11 PRO Plus 5G (Mirage Blue, 256 GB)","₹24,999",Same as Sale Price,4.2,No Offer,"2,551", 238
"Redmi Y2 (Blue, 32 GB)","₹10,499",Same as Sale Price,4.5,No Offer,"1,21,474"," 8,082"
"Redmi 6 (Rose Gold, 32 GB)","₹8,949","₹8,999",4.4,No Offer,"5,59,362"," 40,503"
"Redmi Note 8 (Neptune Blue, 64 GB)","₹12,999",Same as Sale Price,4.4,No Offer,"55,886"," 3,943"
"Xiaomi 11i 5G (Pacific Pearl, 128 GB)","₹24,999","₹29,999",4.2,16% off,"37,306"," 4,609"
"Redmi Y2 (Dark Grey, 64 GB)","₹13,499",Same as Sale Price,4.4,No Offer,"27,443"," 1,926"
"Redmi Note 9 Pro (Aurora Blue, 128 GB)","₹15,999",Same as Sale Price,4.3,No Offer,"26,623"," 1,827"
"Redmi 9A (SeaBlue, 32 GB)","₹7,140","₹7,420",4.3,3% off,"21,393"," 1,283"
"Xiaomi 11Lite NE (Jazz Blue, 128 GB)","₹23,490",Same as Sale Price,4.2,No Offer,"3,209", 365
"Mi 10T (Cosmic Black, 128 GB)","₹37,999","₹42,999",4.1,11% off,"3,649", 461
"Redmi 9A Sport (Carbon Black, 32 GB)","₹8,250",Same as Sale Price,4.2,No Offer,"5,850", 437
"Redmi Note 7 Pro (Space Black, 128 GB)","₹14,049","₹16,999",4.5,17% off,"3,20,420"," 26,388"
"Redmi Note 4 (Black, 32 GB)","₹10,649","₹10,999",4.4,3% off,"6,42,199"," 1,10,373"
"Redmi Note 7 Pro (Nebula Red, 64 GB)","₹16,999",Same as Sale Price,4.5,No Offer,"3,20,420"," 26,388"
"Redmi 8A (Ocean Blue, 32 GB)","₹7,099","₹7,999",4.4,11% off,"1,61,497"," 11,177"
"Redmi 7A (Matte Gold, 32 GB)","₹6,999",Same as Sale Price,4.3,No Offer,"3,88,888"," 28,158"
"Mi 11X (Cosmic Black, 128 GB)","₹23,990",Same as Sale Price,4.2,No Offer,"2,772", 268
"Redmi Note 7 (Onyx Black, 32 GB)","₹12,949","₹12,999",4.4,No Offer,"1,32,379"," 14,160"
"Redmi 6 (Blue, 32 GB)","₹8,949","₹8,999",4.4,No Offer,"5,59,362"," 40,503"
"Redmi 6 (Black, 32 GB)","₹8,949","₹8,999",4.4,No Offer,"5,59,362"," 40,503"
"Redmi Note 8 (Moonlight White, 64 GB)","₹12,999",Same as Sale Price,4.4,No Offer,"55,886"," 3,943"
"Redmi 5A (Rose Gold, 32 GB)","₹6,999",Same as Sale Price,4.4,No Offer,"6,06,469"," 64,658"
"Redmi 5A (Gold, 32 GB)","₹6,999",Same as Sale Price,4.4,No Offer,"6,06,469"," 64,658"
